path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
web.archive.org_web_20251223173452_aeronav.faa.gov_visual_11-27-2025_PDFs_Detroit.tif,web.archive.org_web_20251223173452_aeronav.faa.gov_visual_11-27-2025_PDFs_Detroit.tif,Detroit,2025-11-27,acasis_sec_11-27-2025_Detroit.zip,superseded by FAA original
web.archive.org_web_20251223173517_aeronav.faa.gov_visual_11-27-2025_PDFs_Ketchikan.tif,web.archive.org_web_20251223173517_aeronav.faa.gov_visual_11-27-2025_PDFs_Ketchikan.tif,Ketchikan,2025-11-27,acasis_sec_11-27-2025_Ketchikan.zip,superseded by FAA original
web.archive.org_web_20251223173647_aeronav.faa.gov_visual_11-27-2025_PDFs_Albuquerque.tif,web.archive.org_web_20251223173647_aeronav.faa.gov_visual_11-27-2025_PDFs_Albuquerque.tif,Albuquerque,2025-11-27,acasis_sec_11-27-2025_Albuquerque.zip,superseded by FAA original
web.archive.org_web_20251223174213_aeronav.faa.gov_visual_11-27-2025_PDFs_Juneau.tif,web.archive.org_web_20251223174213_aeronav.faa.gov_visual_11-27-2025_PDFs_Juneau.tif,Juneau,2025-11-27,acasis_sec_11-27-2025_Juneau.zip,superseded by FAA original
web.archive.org_web_20251223174400_aeronav.faa.gov_visual_11-27-2025_PDFs_Lake_Huron.tif,web.archive.org_web_20251223174400_aeronav.faa.gov_visual_11-27-2025_PDFs_Lake_Huron.tif,Lake Huron,2025-11-27,acasis_sec_11-27-2025_Lake_Huron.zip,superseded by FAA original
web.archive.org_web_20251223174420_aeronav.faa.gov_visual_11-27-2025_PDFs_Houston.tif,web.archive.org_web_20251223174420_aeronav.faa.gov_visual_11-27-2025_PDFs_Houston.tif,Houston,2025-11-27,acasis_sec_11-27-2025_Houston.zip,superseded by FAA original
web.archive.org_web_20251223174605_aeronav.faa.gov_visual_11-27-2025_PDFs_Klamath_Falls.tif,web.archive.org_web_20251223174605_aeronav.faa.gov_visual_11-27-2025_PDFs_Klamath_Falls.tif,Klamath Falls,2025-11-27,acasis_sec_11-27-2025_Klamath_Falls.zip,superseded by FAA original
web.archive.org_web_20251223174730_aeronav.faa.gov_visual_11-27-2025_PDFs_McGrath.tif,web.archive.org_web_20251223174730_aeronav.faa.gov_visual_11-27-2025_PDFs_McGrath.tif,McGrath,2025-11-27,acasis_sec_11-27-2025_McGrath.zip,superseded by FAA original
web.archive.org_web_20251223174947_aeronav.faa.gov_visual_11-27-2025_PDFs_Dawson.tif,web.archive.org_web_20251223174947_aeronav.faa.gov_visual_11-27-2025_PDFs_Dawson.tif,Dawson,2025-11-27,acasis_sec_11-27-2025_Dawson.zip,superseded by FAA original
web.archive.org_web_20251223175317_aeronav.faa.gov_visual_11-27-2025_PDFs_Miami.tif,web.archive.org_web_20251223175317_aeronav.faa.gov_visual_11-27-2025_PDFs_Miami.tif,Miami,2025-11-27,acasis_sec_11-27-2025_Miami.zip,superseded by FAA original
web.archive.org_web_20251223175534_aeronav.faa.gov_visual_11-27-2025_PDFs_San_Antonio.tif,web.archive.org_web_20251223175534_aeronav.faa.gov_visual_11-27-2025_PDFs_San_Antonio.tif,San Antonio,2025-11-27,acasis_sec_11-27-2025_San_Antonio.zip,superseded by FAA original
web.archive.org_web_20251223175943_aeronav.faa.gov_visual_11-27-2025_PDFs_Charlotte.tif,web.archive.org_web_20251223175943_aeronav.faa.gov_visual_11-27-2025_PDFs_Charlotte.tif,Charlotte,2025-11-27,acasis_sec_11-27-2025_Charlotte.zip,superseded by FAA original
web.archive.org_web_20251223180235_aeronav.faa.gov_visual_11-27-2025_PDFs_Great_Falls.tif,web.archive.org_web_20251223180235_aeronav.faa.gov_visual_11-27-2025_PDFs_Great_Falls.tif,Great Falls,2025-11-27,acasis_sec_11-27-2025_Great_Falls.zip,superseded by FAA original
