URL,MIME Type,First Capture,Last Capture,Total Captures,File Size (bytes),Content Digest (SHA-1)
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Tampa-Orlando_TAC.pdf,application/pdf,20240420155257,20240519164624,2,1043143,X7FMYG4HSO4SCTENWDL44XH2UPJROGBA
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Twin_Cities.pdf,application/pdf,20240420174746,20240517235455,2,1048744,FY3NCW4AQQXYBG6EL5MY5CLKSJLOZ4PA
https://aeronav.faa.gov/visual/01-25-2024/PDFs/US_Gulf_Coast_Heli.pdf,application/pdf,20240420162400,20240518032612,2,1048715,52NJMEVHGI7CI2CO4FS6OF6X54ZS4B2W
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Washington.pdf,application/pdf,20240420160351,20240518182821,2,1049046,ZHHPW2KVPDFRTY7P2DPTNI5MVWITF3OV
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Western_Aleutian_Islands.pdf,application/pdf,20240420164330,20240520142310,2,1042870,J44V7MDCLSFFFNZSJE5LCXKEHFN6QI7M
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Wichita.pdf,application/pdf,20240420162822,20240526232342,2,1049014,A2N7UP6LLBV5YWFDWUHPO2OZNRP2XYGI
https://aeronav.faa.gov/visual/01-25-2024/Planning/,text/html,20240907040147,20250208112522,2,3300,J3CESGPD6RASFCEYPVHAGECDWP7LPOBD
https://aeronav.faa.gov/visual/01-25-2024/Planning/AK_WallPlan.zip,application/x-zip-compressed,20241130194925,20250211181137,6,40358346,WCN3O5V3E55PPIJ676POXXQCHS352O67
https://aeronav.faa.gov/visual/01-25-2024/Planning/US_WallPlan.zip,application/x-zip-compressed,20250208125419,20250208125419,1,59972204,FHEQBPHTBCZ6GITRHO2LRZFPNJAGIIUE
https://aeronav.faa.gov/visual/01-25-2024/sectional-files/,text/html,20240905172632,20250208112523,2,3238,C5P6J5AESWBIM6UBI6T45HPYL62UWC7K
https://aeronav.faa.gov/visual/01-25-2024/tac-files/,text/html,20240906012709,20250208112522,2,3233,YWRMGOUUYJYYRIWRR2CEKAA75HZGTBOW
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Caribbean.zip,application/x-zip-compressed,20220120021449,20220120021449,1,74161723,2MEJPAHTERLC7CHSUNLCOR4NCCLID5OO
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Grand_Canyon.zip,application/x-zip-compressed,20220120000227,20220120000227,1,36257219,3V7L4DOKYVJECOUDSBKKFSGFVI3O6ZQ7
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Helicopter.zip,application/x-zip-compressed,20220120041158,20220120041158,1,239299908,5R5REYTQDRODVGQFRBXSREKSDULOBZF7
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Planning.zip,application/x-zip-compressed,20220120103424,20220120103424,1,99930305,B4VZV44WEM73LQRQBUHY73BBG6I4SWYW
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Sectional.zip,application/x-zip-compressed,20220120050543,20220120050543,1,608097331,NZL25AIPUPQNQGJG34AE4ZSAR6LNFMRI
https://aeronav.faa.gov/visual/01-27-2022/All_Files/Terminal.zip,application/x-zip-compressed,20220120015631,20220120015631,1,804257459,HJACELLH2IV4B7EXKOSLCNFN32JB25QC
https://aeronav.faa.gov/visual/01-27-2022/Caribbean/Caribbean_1_VFR.zip,application/x-zip-compressed,20220119234924,20220119234924,1,40935560,UFAGQGLF3DR62REVSYL2WY46RPLJYCMD
https://aeronav.faa.gov/visual/01-27-2022/Caribbean/Caribbean_2_VFR.zip,application/x-zip-compressed,20220120085338,20220120085338,1,22805152,TVEJFF5DZZIDB7PJLPSM66O4AX7MESJ6
https://aeronav.faa.gov/visual/01-27-2022/PDFs/AK_WallPlan.pdf,application/pdf,20220120005528,20230111070545,3,83210452,7VQECDV4VEMFVURRUNL2QCL7LKJ4VIGA
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Albuquerque.pdf,application/pdf,20220120123932,20220120123932,1,147280621,CUR3HSJRDTVWTZ4N24ROYQJYBNMRTOAV
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Anchorage-Fairbanks_TAC.pdf,application/pdf,20220120014213,20220120014213,1,97974701,D7N2GSULO5VXDVEWRZVLQH3BKR3HUZ2L
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Anchorage.pdf,application/pdf,20220120010030,20220120010030,1,132565809,2K27POZWZACO6326TO2V2NQFLFS3UWYS
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Atlanta.pdf,application/pdf,20220120005855,20220120005855,1,179182963,5KG7BBUFVUZKAWCZQVW3GLYYHKC7JAZF
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Atlanta_TAC.pdf,application/pdf,20220120033741,20220120033741,1,67074117,4FPDR4WP6YV3XDQNN2NCE7FVKIW3TULY
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Balt-Wash_Heli.pdf,application/pdf,20220120005654,20220331123710,2,66687904,VH5RFBZHOJISZRX6DHQMOWCRCEVLWPGC
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Baltimore-Washington_TAC.pdf,application/pdf,20220120083254,20220120083254,1,94912661,OZME7PP6XWEURFNSNPFWOF5HUANBNA3U
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Bethel.pdf,application/pdf,20220120022603,20220120022603,1,99207885,HDLPPVHJEPDJCSVR72JUQC7KB7EWZCEB
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Billings.pdf,application/pdf,20220120073911,20220120073911,1,105318584,R2YVVHFCDDZ4J76UDJO73TRRTJC44WUJ
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Boston_Heli.pdf,application/pdf,20220119233940,20220119233940,1,51443725,Z3K4QRHSOLQRWPS2RHVPGBXSEFVHROKQ
https://aeronav.faa.gov/visual/01-27-2022/PDFs/Boston_TAC.pdf,application/pdf,20220120004615,20220120004615,1,46774203,D2BMOOSFVLHIPZRQ33NDMSZA5QBR2QY4
