date_iso,url
2015-11-12_to_2016-11-10,https://data.archive.aero/sectionals/2015-11-12_to_2016-11-10.pmtiles
2015-11-12_to_2016-05-26,https://data.archive.aero/sectionals/2015-11-12_to_2016-05-26.pmtiles
2015-11-12_to_2016-04-28,https://data.archive.aero/sectionals/2015-11-12_to_2016-04-28.pmtiles
2015-10-15_to_2016-10-13,https://data.archive.aero/sectionals/2015-10-15_to_2016-10-13.pmtiles
2015-10-15_to_2016-04-28,https://data.archive.aero/sectionals/2015-10-15_to_2016-04-28.pmtiles
2015-10-15_to_2016-03-31,https://data.archive.aero/sectionals/2015-10-15_to_2016-03-31.pmtiles
2015-09-17_to_2016-03-31,https://data.archive.aero/sectionals/2015-09-17_to_2016-03-31.pmtiles
2015-09-17_to_2016-03-03,https://data.archive.aero/sectionals/2015-09-17_to_2016-03-03.pmtiles
2015-09-06_to_2017-09-03,https://data.archive.aero/sectionals/2015-09-06_to_2017-09-03.pmtiles
2015-09-06_to_2016-03-20,https://data.archive.aero/sectionals/2015-09-06_to_2016-03-20.pmtiles
2015-08-20_to_2016-03-03,https://data.archive.aero/sectionals/2015-08-20_to_2016-03-03.pmtiles
2015-08-20_to_2016-02-04,https://data.archive.aero/sectionals/2015-08-20_to_2016-02-04.pmtiles
2015-07-23_to_2016-07-21,https://data.archive.aero/sectionals/2015-07-23_to_2016-07-21.pmtiles
2015-07-23_to_2016-02-04,https://data.archive.aero/sectionals/2015-07-23_to_2016-02-04.pmtiles
2015-07-23_to_2016-01-07,https://data.archive.aero/sectionals/2015-07-23_to_2016-01-07.pmtiles
2015-06-25_to_2016-06-23,https://data.archive.aero/sectionals/2015-06-25_to_2016-06-23.pmtiles
2015-06-25_to_2016-01-07,https://data.archive.aero/sectionals/2015-06-25_to_2016-01-07.pmtiles
2015-06-25_to_2015-12-10,https://data.archive.aero/sectionals/2015-06-25_to_2015-12-10.pmtiles
2015-05-28_to_2015-12-10,https://data.archive.aero/sectionals/2015-05-28_to_2015-12-10.pmtiles
2015-05-28_to_2015-11-12,https://data.archive.aero/sectionals/2015-05-28_to_2015-11-12.pmtiles
2015-04-30_to_2016-04-28,https://data.archive.aero/sectionals/2015-04-30_to_2016-04-28.pmtiles
2015-04-30_to_2015-11-12,https://data.archive.aero/sectionals/2015-04-30_to_2015-11-12.pmtiles
2015-04-30_to_2015-10-15,https://data.archive.aero/sectionals/2015-04-30_to_2015-10-15.pmtiles
2015-04-02_to_2016-03-31,https://data.archive.aero/sectionals/2015-04-02_to_2016-03-31.pmtiles
2015-04-02_to_2015-10-15,https://data.archive.aero/sectionals/2015-04-02_to_2015-10-15.pmtiles
2015-04-02_to_2015-09-17,https://data.archive.aero/sectionals/2015-04-02_to_2015-09-17.pmtiles
2015-03-05_to_2016-03-03,https://data.archive.aero/sectionals/2015-03-05_to_2016-03-03.pmtiles
2015-03-05_to_2015-09-17,https://data.archive.aero/sectionals/2015-03-05_to_2015-09-17.pmtiles
2015-03-05_to_2015-08-20,https://data.archive.aero/sectionals/2015-03-05_to_2015-08-20.pmtiles
2015-02-05_to_2016-02-04,https://data.archive.aero/sectionals/2015-02-05_to_2016-02-04.pmtiles
2014-10-16_to_2015-10-15,https://data.archive.aero/sectionals/2014-10-16_to_2015-10-15.pmtiles
2014-08-22_to_2015-02-06,https://data.archive.aero/sectionals/2014-08-22_to_2015-02-06.pmtiles
2014-08-14_to_2015-02-26,https://data.archive.aero/sectionals/2014-08-14_to_2015-02-26.pmtiles
2014-08-14_to_2015-01-29,https://data.archive.aero/sectionals/2014-08-14_to_2015-01-29.pmtiles
2014-08-13_to_2015-02-25,https://data.archive.aero/sectionals/2014-08-13_to_2015-02-25.pmtiles
2014-07-17_to_2016-03-03,https://data.archive.aero/sectionals/2014-07-17_to_2016-03-03.pmtiles
2014-06-26_to_2015-06-25,https://data.archive.aero/sectionals/2014-06-26_to_2015-06-25.pmtiles
2014-06-26_to_2015-01-08,https://data.archive.aero/sectionals/2014-06-26_to_2015-01-08.pmtiles
2014-06-26_to_2014-12-11,https://data.archive.aero/sectionals/2014-06-26_to_2014-12-11.pmtiles
2014-05-29_to_2014-12-11,https://data.archive.aero/sectionals/2014-05-29_to_2014-12-11.pmtiles
2014-05-29_to_2014-11-13,https://data.archive.aero/sectionals/2014-05-29_to_2014-11-13.pmtiles
2014-05-01_to_2015-04-30,https://data.archive.aero/sectionals/2014-05-01_to_2015-04-30.pmtiles
2014-05-01_to_2014-10-16,https://data.archive.aero/sectionals/2014-05-01_to_2014-10-16.pmtiles
2014-04-03_to_2015-04-02,https://data.archive.aero/sectionals/2014-04-03_to_2015-04-02.pmtiles
2014-03-06_to_2016-03-03,https://data.archive.aero/sectionals/2014-03-06_to_2016-03-03.pmtiles
2014-03-06_to_2015-03-05,https://data.archive.aero/sectionals/2014-03-06_to_2015-03-05.pmtiles
2014-03-06_to_2014-09-18,https://data.archive.aero/sectionals/2014-03-06_to_2014-09-18.pmtiles
2014-03-06_to_2014-08-21,https://data.archive.aero/sectionals/2014-03-06_to_2014-08-21.pmtiles
2014-02-06_to_2015-02-05,https://data.archive.aero/sectionals/2014-02-06_to_2015-02-05.pmtiles
2014-02-06_to_2014-08-21,https://data.archive.aero/sectionals/2014-02-06_to_2014-08-21.pmtiles
2014-02-06_to_2014-07-24,https://data.archive.aero/sectionals/2014-02-06_to_2014-07-24.pmtiles
2014-01-13_to_2015-01-12,https://data.archive.aero/sectionals/2014-01-13_to_2015-01-12.pmtiles
